year,id_,marital,childs,age,degree,sex,happy,satjob,realrinc,ballot
2016,93,Divorced,0,68,Graduate,MALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot a
2016,94,Never married,0,50,Bachelor's,MALE,Pretty happy,Very satisfied,46800.0,Ballot c
2016,95,Never married,0,40,Graduate,MALE,Pretty happy,Very satisfied,65520.0,Ballot c
2016,96,Never married,0,58,High school,MALE,Pretty happy,.i:  Inapplicable,25740.0,Ballot b
2016,97,Never married,0,43,High school,MALE,Pretty happy,A little dissatisfied,9945.0,Ballot b
2016,98,Never married,0,25,Bachelor's,MALE,Very happy,Very dissatisfied,3042.0,Ballot b
2016,99,Never married,0,33,Graduate,MALE,Pretty happy,Very satisfied,4212.0,Ballot c
2016,100,Never married,0,27,Bachelor's,MALE,Pretty happy,Moderately satisfied,31590.0,Ballot c
2016,101,Married,2,58,Bachelor's,FEMALE,Pretty happy,Very satisfied,15210.0,Ballot c
2016,102,Married,4,66,High school,FEMALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot b
2016,103,Separated,0,66,High school,MALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot a
2016,104,Widowed,2,89 or older,High school,FEMALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot c
2016,105,Married,2,29,Associate/junior college,FEMALE,Pretty happy,Very satisfied,-100.0,Ballot c
2016,106,Never married,0,89 or older,Less than high school,FEMALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot a
2016,107,Never married,0,78,High school,FEMALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot c
2016,108,Never married,3,52,High school,FEMALE,Not too happy,Very satisfied,-100.0,Ballot a
2016,109,Never married,0,50,High school,MALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot a
2016,110,Married,1,25,Bachelor's,FEMALE,Very happy,Moderately satisfied,-100.0,Ballot c
2016,111,Married,2,37,Bachelor's,MALE,Pretty happy,Moderately satisfied,65520.0,Ballot a
2016,112,Divorced,2,54,Bachelor's,FEMALE,Very happy,Moderately satisfied,-100.0,Ballot c
2016,113,Married,3,52,Associate/junior college,MALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot a
2016,114,Married,0,48,High school,MALE,Pretty happy,Moderately satisfied,46800.0,Ballot b
2016,115,Married,0,32,Graduate,FEMALE,Very happy,Very satisfied,-100.0,Ballot b
2016,116,Married,0,29,Bachelor's,FEMALE,Pretty happy,Very satisfied,-100.0,Ballot c
2016,117,Married,3,75,Bachelor's,FEMALE,Very happy,.i:  Inapplicable,-100.0,Ballot c
2016,118,Married,0,59,Graduate,FEMALE,Very happy,Very satisfied,164382.03756,Ballot b
2016,119,Married,2,81,High school,MALE,Very happy,.i:  Inapplicable,-100.0,Ballot c
2016,120,Married,3,69,High school,FEMALE,Pretty happy,.i:  Inapplicable,-100.0,Ballot b
