year,id_,marital,childs,age,degree,sex,happy,satjob,realrinc,ballot
2016,114,married,0,48,high school,male,pretty happy,moderately satisfied,46800,ballot b
2016,115,married,0,32,graduate,female,very happy,very satisfied,NA,ballot b
2016,116,married,0,29,bachelor's,female,pretty happy,very satisfied,NA,ballot c
2016,117,married,3,75,bachelor's,female,very happy,NA,NA,ballot c
2016,118,married,0,59,graduate,female,very happy,very satisfied,164382.03756,ballot b
2016,119,married,2,81,high school,male,very happy,NA,NA,ballot c
2016,120,married,3,69,high school,female,pretty happy,NA,NA,ballot b
2016,121,married,2,55,graduate,female,very happy,moderately satisfied,56160,ballot a
2016,122,never married,0,52,high school,female,very happy,very satisfied,8775,ballot c
2016,123,never married,1,33,bachelor's,female,pretty happy,moderately satisfied,NA,ballot c
2016,124,divorced,2,56,high school,male,pretty happy,very satisfied,56160,ballot a
2016,125,married,2,71,graduate,male,pretty happy,NA,NA,ballot b
2016,126,never married,0,21,high school,male,very happy,NA,NA,ballot b
2016,127,married,3,49,high school,female,very happy,very satisfied,46800,ballot a
2016,128,never married,0,26,bachelor's,male,very happy,very satisfied,38610,ballot c
2016,129,never married,0,33,bachelor's,female,pretty happy,moderately satisfied,31590,ballot b
2016,130,married,0,36,graduate,male,pretty happy,very satisfied,31590,ballot a
2016,131,widowed,0,68,high school,male,pretty happy,NA,NA,ballot b
2016,132,never married,2,27,associate/junior college,female,pretty happy,a little dissatisfied,31590,ballot a
2016,133,never married,1,60,high school,female,pretty happy,moderately satisfied,2106,ballot c
2016,134,never married,0,48,high school,male,very happy,very satisfied,25740,ballot a
2016,135,married,3,47,high school,female,not too happy,moderately satisfied,21060,ballot c
2016,136,never married,0,36,associate/junior college,female,pretty happy,very satisfied,NA,ballot a
2016,137,widowed,2,NA,high school,female,pretty happy,NA,NA,ballot b
2016,138,separated,2,64,high school,female,not too happy,NA,936,ballot c
2016,139,never married,0,38,bachelor's,female,very happy,NA,31590,ballot a
2016,140,widowed,1,62,high school,male,pretty happy,NA,NA,ballot c
2016,141,married,3,62,bachelor's,female,very happy,very satisfied,NA,ballot a
2016,142,married,5,65,associate/junior college,female,very happy,very satisfied,NA,ballot c
2016,143,married,2,60,high school,male,pretty happy,NA,NA,ballot a
2016,144,divorced,1,47,bachelor's,female,pretty happy,moderately satisfied,NA,ballot c
2016,145,divorced,0,62,associate/junior college,male,pretty happy,moderately satisfied,31590,ballot b
